id|schedule|cats|family_id|n|metrics|units|ptypes|yrs|title
8c0cc030-4bf6-437a-a086-7f3cdf136a0b|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2024-2024|Vornamenstatistik 2024
91e823fc-e845-47ca-9fe3-3dbe1f193815|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2021-2021|Vornamensstatistik 2021
986e5c01-ba5e-4960-8ac2-b845ae1b4dde|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2020-2020|Vornamensstatistik 2020
862806c0-5273-4fca-9432-290939ccf669|nightly|sonstiges||2|2|city|year||Eignungsüberprüfung Fahrerlaubnis
60b36fac-bb59-437c-ba18-9d4d1e395ccc|nightly|wirtschaft-und-finanzen||2|2|city|year||Ergebnishaushalt der Stadt Leipzig 2025/2026
a2f12d0f-ebad-4bb5-9b79-0e7077cbb800|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2023-2023|Vornamensstatistik 2023
600a9a82-d361-48b4-b41a-172c12154fb7|nightly|sonstiges||2|2|city|year||Erteilte verkehrsrechtliche Genehmigungen und Ausnahmegenehmigungen 
ac13f1cd-1515-47df-bc6f-ec18ae325918|nightly|sonstiges||2|2|city|year||Erwerbstätigkeit MigrantInnen
50375b4a-7023-4d83-9113-ce2a2af04ca9|nightly|sonstiges||2|2|city|year||Ausgegebene Führerscheine
4fa71303-0b59-41f9-a8d5-25d9690fe612|nightly|sonstiges||2|2|city|year||Entzug Fahrererlaubnis
c5767b83-de35-4b11-8da8-15de4e8e1780|nightly|sonstiges||2|2|city|year||Migrantinnen- und Migrantenbeiratswahl 2025: Wahlergebnis
c62e543b-a558-4fed-a5cb-973ba8dc787d|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2014-2014|Vornamensstatistik 2014
3dcba8e6-760e-45e9-b41b-0e1b1dafc52d|nightly|sonstiges||2|2|city|year||Kfz-Zulassung
374b40fc-40e5-4c4c-a53f-1ebe153e3fe4|nightly|bildung-kultur-und-sport;regionen-und-staedte;wirtschaft-und-finanzen||2|2|city|year||Gästeankünfte
27c0f926-9718-4c4e-8039-b7dae6ec778d|nightly|sonstiges||2|2|city|year||Erteilung/Verlängerung von Fahrerlaubnissen zur Fahrgastbeförderung
232a0de4-a6ae-4591-a459-4fd5aa987b68|nightly|sonstiges||2|2|city|year||Namensvorschläge Straßenbenennungen
2127ad69-ef01-4d67-a529-a7c58cd858db|nightly|sonstiges||2|2|city|year||Jugendparlamentswahl 2025: Wahlergebnis
