name,created,description,formats
Unternehmen (Jahreszahlen),2023-09-26 12:19:50.613185,"Daten zu den bei der der Industrie- und Handelskammer zu Leipzig registrierten Firmen, gegliedert nach den Wirtschaftsabteilungen der Klassifikation der Wirtschaftszweige (WZ 2008).","CSV, JSON"
Wohnungsnotfälle  (Jahreszahlen),2023-09-26 12:19:41.170789,Daten zu betreuten Wohnungsnotfällen des Sozialdienstes Wohnungsnotfallhilfe.,"CSV, JSON"
Oberbürgermeisterwahlen - 2. Wahlgang,2026-03-03 18:57:11.699687,"Ergebnisse des 2. Wahlgangs der Oberbürgermeisterwahlen (Wahlbeteiligung, Stimmenanteile der Bewerber) seit 1994 in Leipzig","CSV, JSON"
Oberbürgermeisterwahlen - 1. Wahlgang,2026-02-27 18:56:41.984276,"Ergebnisse des 1. Wahlgangs der Oberbürgermeisterwahlen (Wahlbeteiligung, Stimmenanteile der Bewerber) seit 1994 in Leipzig","CSV, JSON"
Landtagswahlen,2023-09-26 12:20:00.706557,"Ergebnisse der Landtagswahlen (Wahlbeteiligung, Stimmenanteile der Parteien) seit 1990 in Leipzig","CSV, JSON"
Bundestagswahlen,2023-09-26 12:20:00.497894,"Ergebnisse der Bundestagswahlen (Wahlbeteiligung, Stimmenanteile der Parteien) seit 1990 in Leipzig","CSV, JSON"
Landtagswahlen - Erststimmenergebnis,2026-03-03 18:57:10.891692,Erststimmenergebnisse und Wahlbeteiligung bei Landtagswahlen seit 1990 in Leipzig,"CSV, JSON"
Bundestagswahlen - Erststimmenergebnis,2026-03-03 18:57:10.213740,Erststimmenergebnisse und Wahlbeteiligung bei Bundestagswahlen seit 1990 in Leipzig,"CSV, JSON"
Ergebnisse Europawahl seit 1994 (Wahlbezirke),2026-01-14 07:46:25.175865,"Harmonisiertie Wahlergebnisse der Europawahlen in Leipzig seit 1994 auf Ebene der Wahlbezirke.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig  
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Europawahl seit 2004 (Ortsteile),2026-01-14 07:46:25.809996,"Harmonisiertie Wahlergebnisse der Europawahlen in Leipzig seit 2004 auf Ebene der Ortsteile.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig   
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Oberbürgermeisterwahl seit 1994 (Wahlbezirke),2026-01-14 07:46:23.550610,"Harmonisiertie Wahlergebnisse der Oberbürgermeisterwahlen in Leipzig seit 1994 auf Ebene der Wahlbezirke.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig  
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Stadtratswahl seit 1994 (Wahlbezirke),2026-01-14 07:46:17.198579,"Harmonisiertie Wahlergebnisse der Stadtratswahlen in Leipzig seit 1994 auf Ebene der Wahlbezirke.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig  
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Stadtratswahl seit 1999 (Ortsteile),2026-01-14 07:46:17.426462,"Harmonisiertie Wahlergebnisse der Stadtratswahlen in Leipzig seit 1999 auf Ebene der Ortsteile.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig   
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Landtagswahl seit 1994 (Wahlbezirke),2026-01-14 07:46:16.631538,"Harmonisiertie Wahlergebnisse der Landtagswahlen in Leipzig seit 1994 auf Ebene der Wahlbezirke.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig  
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Landtagswahl seit 1994 (Ortsteile),2026-01-14 07:46:16.980153,"Harmonisiertie Wahlergebnisse der Landtagswahlen in Leipzig seit 1994 auf Ebene der Ortsteile.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig   
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Bundestagswahl seit 1994 (Wahlbezirke),2026-01-14 07:46:16.012823,"Harmonisiertie Wahlergebnisse der Bundestagswahlen in Leipzig seit 1994 auf Ebene der Wahlbezirke.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig  
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
Ergebnisse Bundestagswahl seit 1994 (Ortsteile),2026-01-14 07:46:16.331292,"Harmonisiertie Wahlergebnisse der Bundestagswahlen in Leipzig seit 1994 auf Ebene der Ortsteile.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig   
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
