name,created,description,formats
Stadtratswahl 2024: Bewerberinnen und Bewerber (CSV),2024-08-15 06:53:56.428417,"Dieser Datensatz enthält die Daten der Bewerberinnen und Bewerber, die sich bei der Leipziger Stadtratswahl am 9.6.2024 zur Wahl gestellt haben.
Wahlergebnisdaten sind hier zu finden:

Stadtergebnis: https://opendata.leipzig.de/dataset/stadtratswahl-2024-stadtergebnis

Wahlkreisergebnisse: https://opendata.leipzig.de/dataset/f3f1f107-18b4-4c2a-a071-75e1aea1ba37

Ortsteilergebnisse: https://opendata.leipzig.de/dataset/stadtratswahl-2024-ortsteilergebnisse

Wahlbezirksergebnisse: https://opendata.leipzig.de/dataset/stadtratswahl-2024-wahlbezirksergebnisse
",CSV
Bundestagswahl 2025: Stadtergebnis,2025-02-28 11:40:50.784591,Dieser Datensatz enthält das Stadtergebnis der Bundestagswahl 2025 in Leipzig.,CSV
Bundestagswahl 2021: Wahlkreisergebnis Leipzig II (153),2024-04-23 10:19:26.377402,Dieser Datensatz enthält das Wahlkreisergebnis für den Wahlkreis Leipzig II - 153.,CSV
Bundestagswahl 2021: Wahlkreisergebnis Leipzig I (152),2024-04-23 09:02:38.266822,Dieser Datensatz enthält das Wahlkreisergebnis für den Wahlkreis Leipzig I - 152.,CSV
Bundestagswahl 2025: Wahlkreisergebnis Leipzig II (152),2025-02-28 11:36:27.447655,"Dieser Datensatz enthält das Wahlkreisergebnis für den Wahlkreis Leipzig II - 152 bei der Bundestagswahl 2025. Aufgrund einer Überarbeitung der Wahlkreisnummerierung war Leipzig II bei früheren Bundestagswahlen der Wahlkreis Nr. 153.

Die Geodaten der Leipziger Wahlkreise finden sich unter: https://opendata.leipzig.de/dataset/11d923d1-9c91-492d-a5c2-13cc74e0f72b
",CSV
Bundestagswahl 2025: Wahlkreisergebnis Leipzig I (151),2025-02-28 11:32:05.057009,"Dieser Datensatz enthält das Wahlkreisergebnis für den Wahlkreis Leipzig I - 151 bei der Bundestagswahl 2025. Aufgrund einer Überarbeitung der Wahlkreisnummerierung war Leipzig I bei früheren Bundestagswahlen der Wahlkreis Nr. 152.

Die Geodaten der Leipziger Wahlkreise finden sich unter: https://opendata.leipzig.de/dataset/11d923d1-9c91-492d-a5c2-13cc74e0f72b",CSV
Bundestagswahl 2025: Wahlbezirksergebnisse,2025-02-28 11:14:34.255624,"Dieser Datensatz enthält die Ergebnisse der Bundestagswahl 2025 in den Leipziger Wahlbezirken.

Die Geodaten der Wahlbezirke finden sich unter: https://opendata.leipzig.de/dataset/fea13bec-d397-40d9-b3de-2bd3030fa248

Die Geodaten der Briefwahlbezirke finden sich unter: https://opendata.leipzig.de/dataset/e8a3b316-f697-440b-90c0-33cd2e04be7f",CSV
Straßennamensverzeichnis mit Erläuterungen,2021-03-31 10:30:55.275224,"Informationen zu den Namen aller über 3.000 benannten Straßen und Plätze der Stadt Leipzig: Straßenname, Erläuterung des Straßennamens, frühere Namen (bei umbenannten Straßen), Beschlussdaten (Nummer und Datum des Benennungsbeschlusses des Stadrates)",XML
Bundestagswahl 2025: Geodaten der Wahllokale,2025-01-22 15:21:33.070975,"Dieser Datensatz enthält die Geodaten der 414 Leipziger Wahllokale für die Bundestagswahl am 23.2.2025. In einem Wahlobjekt können sich mehrere Wahllokale (Wahlräume) befinden, denen Wahlbezirke zugeordnet sind. Die Geodaten der Wahlbezirke finden sich unter https://opendata.leipzig.de/dataset/fea13bec-d397-40d9-b3de-2bd3030fa248","CSV, SHP"
"Beschäftigte (Jahreszahlen, kleinräumig)",2023-09-26 12:20:17.265494,Kleinräumige Daten zu den Sozialversicherungspflichtig Beschäftigten in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
Landtagswahlen (kleinräumig),2023-09-26 12:20:17.896046,Kleinräumige Wahlergebnisse der Landtagswahlen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Einwohnerdichte (Jahreszahlen, kleinräumig)",2023-09-26 12:20:16.838094,Kleinräumige Daten zur Bevölkerungsdichte in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Straftaten (Jahreszahlen, kleinräumig)",2023-09-26 12:20:01.075721,"Kleinräumige Daten zu Straftaten in den Ortsteilen und Stadtbezirken nach Deliktarten, darunter Diebstahl, Körperverletzung und Vermögensdelikte.","CSV, JSON"
"Baugenehmigungen (Jahreszahlen, kleinräumig)",2023-09-26 12:20:02.028110,Kleinräumige Daten zu Baugenehmigungen für Gebäude und Wohnungen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
"Familien mit Kindern (Jahreszahlen, kleinräumig)",2023-09-26 12:20:03.069758,,"CSV, JSON"
Durchschnittliche Nettokaltmiete (Median) der Angebotsmiete nach Baualter (Jahreszahlen),2023-09-26 12:19:49.182685,Daten zur durchschnittlichen Nettokaltmiete (Median) der Angebotsmiete nach Baualter.,"CSV, JSON"
Gesamtmietbelastung nach Haushaltstyp (Jahreszahlen),2023-09-26 12:19:48.788479,,"CSV, JSON"
Haushaltsgröße (Jahreszahlen),2023-09-26 12:19:48.489113,Daten zur Anzahl der Haushalte nach Haushaltsgröße sowie zur durchschnittlichen Haushaltsgröße.,"CSV, JSON"
Wohnungsbestand  (Jahreszahlen),2023-09-26 12:19:48.290221,,"CSV, JSON"
Anteilige Verteilung der Schulabschlüsse (Jahreszahlen),2023-09-26 12:19:47.575940,Angaben zur anteiligen Verteilung der Schulabschlüsse,"CSV, JSON"
"Wanderungen (Melderegisterdaten, unrevidiert) (Jahreszahlen)",2023-09-26 12:19:39.465290,Daten zu den Zuzügen und Fortzügen von und nach der Stadt Leipzig nach Geschlecht und Staatsangehörigkeit.,"CSV, JSON"
Bevölkerung nach Religionszugehörigkeit (Jahreszahlen),2024-02-06 15:04:33.758414,Daten zur Bevölkerung nach Religionszugehörigkeit.,"CSV, JSON"
Ausgaben (Jahreszahlen),2023-09-26 12:19:35.677519,Daten zur Höhe der Haushaltsausgaben (laufende Ausgaben und Investitionen).,"CSV, JSON"
Personal nach Dienstverhältnissen (Jahreszahlen),2023-09-26 12:19:35.167328,"Daten zum Personal der Stadtverwaltung nach Dienstverhältnissen, Beschäftigungsstatus und Geschlecht.","CSV, JSON"
Personal nach Produktbereichen (Jahreszahlen),2023-09-26 12:19:34.942967,Daten zum Personal der Stadtverwaltung nach Produktbereichen und Geschlecht.,"CSV, JSON"
Probleme aus Bürgersicht (ab 2020) (Jahreszahlen),2023-09-26 12:19:34.504924,"Daten aus der Kommunalen Bürgerumfrage zum Problemempfinden der Leipziger in den Bereichen Sicherheit, Straßenzustand, Armut, Finanzsituation/Verschuldung der Stadt, Arbeits-/Ausbildungsplätze, Straßenbaustellen, Umleitungen, Kindertagesstätten, Sauberkeit auf Straßen/Plätzen, Wohnkosten, Baustellen in der Innenstadt, Zusammenleben mit Ausländern, Parkplätze, ärztliche Versorgungn, Schulen, Freizeitangebote für Kinder und Jugendliche, Lärmbelastung, Öffentlicher Nahverkehr, Wohnungsleerstand und Umweltbelastung, ausgewiesen für junge Erwachsene, Eltern mit Kind(ern) und ältere Erwachsene ab 55 Jahre.","CSV, JSON"
Probleme aus Bürgersicht (Jahreszahlen),2023-09-26 12:19:34.175469,"Daten aus der Kommunalen Bürgerumfrage zum Problemempfinden der Leipziger in den Bereichen Sicherheit, Straßenzustand, Armut, Finanzsituation/Verschuldung der Stadt, Arbeits-/Ausbildungsplätze, Straßenbaustellen, Umleitungen, Kindertagesstätten, Sauberkeit auf Straßen/Plätzen, Wohnkosten, Baustellen in der Innenstadt, Zusammenleben mit Ausländern, Parkplätze, ärztliche Versorgungn, Schulen, Freizeitangebote für Kinder und Jugendliche, Lärmbelastung, Öffentlicher Nahverkehr, Wohnungsleerstand und Umweltbelastung, ausgewiesen für junge Erwachsene, Eltern mit Kind(ern) und ältere Erwachsene ab 55 Jahre.","CSV, JSON"
Sporteinrichtungen (Jahreszahlen),2023-09-26 12:19:32.721452,Daten zu den Leipziger Sporteinrichtungen und Sportanlagen.,"CSV, JSON"
Sportvereine (Jahreszahlen),2023-09-26 12:19:32.431093,Daten zu den Mitgliedern in den Leipziger Sportvereinen nach Sportarten.,"CSV, JSON"
Betreuungsquote von Kindern unter 7 Jahren in Kindertageseinrichtungen und Kindertagespflege,2023-03-20 08:45:28.532646,Quotient der Anzahl der Kinderkrippen- und Kindergartenkinder in Kindertageseinrichtungen in öffentlicher oder freier Trägerschaft und in öffentlich geförderter Kindertagespflege und der Anzahl aller Kinder bis unter 7 Jahre in Leipzig 2012 bis 2022 nach Altersgruppe (in Prozent).  Angaben zur Anzahl der Kinder entstammen den Daten des statistischen Landesamtes Sachsen zum 01.03. des jeweiligen Jahres. Angaben zur Anzahl der Kinder entstammen dem Einwohnermelderegister des Bürgerservice der Stadt Leipzig zum 31.03. des jeweiligen Jahres.,CSV
Arbeitssituation Corona-Pandemie nach Geschlecht,2022-06-16 08:08:29.624345,Der Datensatz enthält eine Übersicht über Ergebnisse der Kommunalen Bürgerumfrage 2021 zur Frage ob und inwieweit sich die Arbeitssituation der Bürgerinnen und Bürger Leipzigs im Zuge der Corona-Pandemie seit März 2020 verändert hat.  Die Ergebnisse sind aufgeschlüsselt nach Geschlecht.,CSV
Amtliche Korrekturen und reguläre Wanderungsvorgänge,2023-03-10 12:06:12.682598,Wanderungssalden nach der alten und neuen Methode (inkl. Amtlicher Korrekturen) seit 2015.,CSV
Vornamensstatistik 2023,2024-01-05 12:32:30.892706,Der Datensatz enthält die Vornamensstatistik für das Jahr 2023. ,CSV
Vornamensstatistik 2021,2024-03-28 09:56:33.928855,Der Datensatz enthält die Vornamensstatistik für das Jahr 2021.,CSV
Vornamensstatistik 2020,2024-03-28 10:33:18.684355,Der Datensatz enthält die Vornamensstatistik für das Jahr 2020. ,CSV
Vornamensstatistik 2019,2024-04-02 05:51:50.848115,Der Datensatz enthält die Vornamensstatistik für das Jahr 2019.,CSV
Versorgungsgrad an Plätzen in Kindertageseinrichtungen,2023-03-20 08:57:52.586835,"Versorgungsgrad an Plätzen für Kindergarten- oder Kinderkrippenkinder in Kindertagesstätten in öffentlicher oder freier Trägerschaft nach Ortsteilen.

Der Versorgungsgrad gibt den Quotient der zur Verfügung stehenden Plätze in Kindertagesstätten und den Einwohnern der entsprechenden Altersgruppe (für Kinderkrippenkinder: 1- unter 3 Jahre, für Kindergartenkinder: 3- unter 7 Jahre) in Prozent an.  Berechnungsgrundlage sind die Angaben zu Kapazitäten von Kindertageseinrichtungen unter öffentlicher oder freier Trägerschaft des Amts für Jugend und Familie im März 2022 sowie das Einwohnerregister des Bürgerservice der Stadt Leipzig zum 31.03.2022",CSV
Relative Entwicklung der Einwohnerzahl nach Ortsteilen,2023-02-28 19:53:54.842312,"Relative Entwicklung der Einwohnerzahl nach Ortsteilen, 2018 bis 2022",CSV
Stadtratswahl 2024: Wahlbezirksergebnisse,2024-05-27 08:13:30.683182,"Wahlergebnisse zur Stadtratswahl am 9.6.2024 in den Leipziger Wahlbezirken.

Die geographische Zuordnung der Wahlbezirke ist im [zugehörigen Straßenabschnittsverzeichnis](https://opendata.leipzig.de/dataset/06194a4e-38f1-42ae-9606-47bb31b78d86) dokumentiert. Die [Geodaten der Wahlbezirke](https://opendata.leipzig.de/dataset/06d979ad-48df-4ed4-a9cb-ce1f0bc8d0a0) und die [Geodaten der Wahlkreise](https://opendata.leipzig.de/dataset/5e2f63ca-dfe9-4c57-b01f-5504a21a99e3) sind ebenfalls verfügbar. ",CSV
Registrierungen ukrainischer Personen in Leipzig im Jahr 2022,2023-02-09 11:17:05.172720,Registrierungen ukrainischer Personen in Leipzig im Jahr 2022,CSV
Leistungszahlen Leipziger Städtische Bibliotheken,2023-03-31 08:36:14.826542,"Leistungszahlen der Jahre 2020 bis 2023, unter anderem Entleihungen, Besuche und Erwerbungsetat",CSV
"Luftbild 2022, Stadt Leipzig",2023-05-30 10:38:44.663506,Das Luftbild der Stadt Leipzig als TrueOrthophoto (TrueDOP) von 2022 in 20 cm Auflösung.,"WMS, WMTS"
Stadtratswahl 2024: Wahlkreisergebnisse,2024-06-06 09:32:33.748503,"Wahlergebnisse zur Stadtratswahl am 9.6.2024 in den Leipziger Wahlkreisen.

Die Geodaten der Wahlkreise finden sich unter https://opendata.leipzig.de/dataset/5e2f63ca-dfe9-4c57-b01f-5504a21a99e3
",CSV
Relative Bevölkerungsentwicklung - Kinder und Jugendliche,2023-02-28 19:41:24.905669,"Relative Entwicklung der Einwohnerzahlen 2018 bis 2022 für folgende Altersgruppen: 0 bis unter 6 Jahre,  6 bis unter 10 Jahre und 10 bis unter 19 Jahre",CSV
Stadtratswahl 2019: Ergebnisse,2024-11-15 14:25:02.300858,"Alle Ergebnisse der Leipziger Stadtratswahl am 26.05.2019.

Der Datensatz enthält die abgegebenen Stimmen insgesamt, sowie nach Ortsteilen, Wahlkreisen und Wahlbezirken. Es ist dabei zu beachten, dass insbesondere Wahlkreise und Wahlbezirke nicht mit denen bei anderen Wahlen übereinstimmen müssen.

Es ist ebenfalls enthalten, welche Kandidierenden gewählt wurden.",XLSX
Stadtratswahl 2024: Ortsteilergebnisse,2024-06-06 09:38:00.200287,"Wahlergebnisse zur Stadtratswahl am 9.6.2024 in den Leipziger Ortsteilen.

Die Geodaten der Ortsteile finden sich unter https://opendata.leipzig.de/dataset/74b342a9-7db7-45a3-8404-944442a24d51",CSV
Arbeitssituation Corona-Pandemie nach Geschlecht und Altersgruppen,2022-06-16 08:53:01.985487,Der Datensatz enthält eine Übersicht über Ergebnisse der Kommunalen Bürgerumfrage 2021 zur Frage ob und inwieweit sich die Arbeitssituation der Bürgerinnen und Bürger Leipzigs im Zuge der Corona-Pandemie seit März 2020 verändert hat. Die Ergebnisse sind aufgeschlüsselt nach Geschlecht und Altersgruppen.,CSV
Beratungsstelle Wohnen und Soziales (Jahreszahlen),2023-09-26 12:19:45.701526,Daten zur Beratungsstelle Wohnen und Soziales.,"CSV, JSON"
Untersuchte Kinder in Kindertageseinrichtungen (Jahreszahlen),2023-09-26 12:19:45.471056,Daten Untersuchte Kinder in Kindertageseinrichtungen,"CSV, JSON"
Erziehungs- und Familienberatungsstellen (Jahreszahlen),2023-09-26 12:19:44.490477,Daten zu Beratungsleistungen der Erziehungs- und Familienberatungsstellen,"CSV, JSON"
Kinder- und Jugendförderung freier Träger  (Jahreszahlen),2023-09-26 12:19:43.872046,Daten zum Budget Kinder- und Jugendförderung freier Träger nach Leistungsbereichen in Prozent,"CSV, JSON"
Investitionen in den Schulbau (Jahreszahlen),2023-09-26 12:19:47.333010,Daten zu Investitionen in den Schulbau,"CSV, JSON"
Zufriedenheit mit den Lebensbedingungen (Jahreszahlen),2023-09-26 12:19:36.456501,"Daten aus der Kommunalen Bürgerumfrage zur Zufriedenheit der Leipziger mit den Lebensbedingungen, u.a. Angebot an öffentlichen Grünanlagen, Ausbau der Naherholungsgebiete, Zustand der Gewässer, Sauberkeit der Luft, Angebot an Freizeitsportanlagen, Versorgung mit Alten- und Pflegeheimen, Sauberkeit der Straßen und öffentlichen Plätzen, Angebot an Ausbildungsplätzen, Lehrstellen, Angebot an Kindereinrichtungen, Angebot an Jugendfreizeiteinrichtungen, öffentliche Sicherheit/Schutz vor Kriminalität, Angebot an Arbeitsplätzen und Straßenzustand, ausgewiesen für junge Erwachsene, Eltern mit Kind(ern) und ältere Erwachsene ab 55 Jahre.","CSV, JSON"
Landtagswahl 2024: Straßenabschnittsverzeichnis,2023-10-06 07:30:53.202262,Straßenabschnittsverzeichnis der Stadt Leipzig mit Wahlkreisen und Wahlbezirken für die Wahl zum sächsischen Landtag 2024.,CSV
Sitzungskalender - Ratsinformationssystem Stadt Leipzig (OParl),2022-11-25 08:24:30.479212,"Dieser Datensatz enthält Angaben zu allen Sitzungsterminen, die im elektronischen Ratsinformationssystem Leipzig erfasst sind. Er kann über die OParl-Schnittstelle abgerufen werden.  

Das elektronische Ratsinformationssystem der Stadt Leipzig bietet die öffentlichen Unterlagen und sonstigen Angaben der Ratsversammlung und ihrer Gremien jederzeit und frei zugänglich im Internet an.

Genauere Informationen erhalten Sie auf den Seiten des [Ratsinformationssystems der Stadt Leipzig](https://ratsinformation.leipzig.de/allris_leipzig_public/) und in der [Dokumentation der OParl-Schnittstelle](https://oparl.org/spezifikation/online-ansicht/#oparl-endpunkt).",JSON
Organisationen - Ratsinformationssystem Stadt Leipzig (OParl),2022-11-25 09:40:19.023616,"Dieser Datensatz enthält Angaben zu allen Organisationen, die im elektronischen Ratsinformationssystem Leipzig erfasst sind. Sie können über die OParl-Schnittstelle abgerufen werden.  Zu Organisationen zählen der [Stadtrat](https://ratsinformation.leipzig.de/allris_leipzig_public/gr020?GRLFDNR=2387), das [Jugendparlament](https://ratsinformation.leipzig.de/allris_leipzig_public/gr020?GRLFDNR=1000017) sowie die jeweiligen Gremien der [Ausschüsse](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Ausschuss), [Ortschaftsräte](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Ortschaftsr%C3%A4te), [Stadtbezirksbeiräte](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Stadtbezirksbeir%C3%A4te), [Beiräte](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Beir%C3%A4te), [Aufsichtsräte](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Aufsichtsr%C3%A4te), [Zweckverbände, Stiftungen](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Zweckverb%C3%A4nde%252C+Stiftungen+etc.) und [Fraktionen](https://ratsinformation.leipzig.de/allris_leipzig_public/gr010?menu=Fraktion).  Für jede Organisation werden deren Mitglieder, Sitzungen und Tagungsorte erfasst.

Das elektronische Ratsinformationssystem der Stadt Leipzig bietet die öffentlichen Unterlagen und sonstigen Angaben der Ratsversammlung und ihrer Gremien jederzeit und frei zugänglich im Internet an.

Genauere Informationen erhalten Sie auf den Seiten des [Ratsinformationssystems der Stadt Leipzig](https://ratsinformation.leipzig.de/allris_leipzig_public/) und in der [Dokumentation der OParl-Schnittstelle](https://oparl.org/spezifikation/online-ansicht/#oparl-endpunkt).",JSON
Vorlagen - Ratsinformationssystem Stadt Leipzig (OParl),2022-11-25 09:52:08.513373,"Dieser Datensatz enthält Angaben zu allen Vorlagen, die im elektronischen Ratsinformationssystem Leipzig erfasst sind. Er kann über die OParl-Schnittstelle abgerufen werden.  

Das elektronische Ratsinformationssystem der Stadt Leipzig bietet die öffentlichen Unterlagen und sonstigen Angaben der Ratsversammlung und ihrer Gremien jederzeit und frei zugänglich im Internet an.

Genauere Informationen erhalten Sie auf den Seiten des [Ratsinformationssystems der Stadt Leipzig](https://ratsinformation.leipzig.de/allris_leipzig_public/) und in der [Dokumentation der OParl-Schnittstelle](https://oparl.org/spezifikation/online-ansicht/#oparl-endpunkt).",JSON
Auszubildende (Jahreszahlen),2023-09-26 12:19:50.152217,Daten zu den Auszubildenen in den Wirtschaftsabteilungen nach der Klassifikation der Wirtschaftszweige (WZ 2008).,"CSV, JSON"
Vornamensstatistik 2018,2024-04-02 05:55:23.731414,Der Datensatz enthält die Vornamensstatistik für das Jahr 2018.,CSV
Leipziger Weihnachtsmarkt 2024 - Stände in 2D,2024-11-19 15:43:40.234159,Dieser Datensatz enthält Geo- und Sachdaten der Marktstände sowie der Hilfsflächen des Leipziger Weihnachtsmarktes 2024 in 2D. In den Sachdaten sind Händlerinformationen (wie z.B. das angebotene Sortiment) aufgeführt.,SHP
Bundestagswahl 2021: Stadtergebnis,2024-04-23 08:52:12.568337,Dieser Datensatz enthält das Stadtergebnis der Bundestagswahl vom 26.09.2021 in Leipzig. ,CSV
Bundestagswahl 2021: Ortsteilergebnisse,2024-04-23 10:37:13.365192,Dieser Datensatz enthält die Ortsteilergebnisse der verschieden Ortsteile Leipzigs für die Bundestagswahl vom 26.09.2021.,CSV
Bundestagswahl 2021: Geodaten der Wahlbezirke,2021-10-11 12:18:20.438581,Dieser Datensatz enthält die Geodaten der Leipziger Wahlkreiseinteilung für die Bundestagswahl vom 26.09.2021.,SHP
Bundestagswahl 2021: Wahlbezirksergebnisse,2024-04-23 10:40:51.038052,Dieser Datensatz enthält die Wahlbezirksergebnisse der verschiedenen Wahlbezirke Leipzigs für die Bundestagswahl vom 26.09.2021.,CSV
Landtagswahl 2024: Wahlkreisergebnisse,2024-09-18 08:56:11.397063,"Der vorliegende Datensatz präsentiert die Ergebnisse der Wahl zum Sächsischen Landtag 2024 in den Leipziger Wahlkreisen.

Die Geodaten der Wahlkreise finden sich unter: https://opendata.leipzig.de/dataset/6a96ec15-b9eb-4a2c-84d5-7b5521560a89",CSV
Landtagswahl 2024: Wahlbezirksergebnisse,2024-09-18 09:50:49.841530,"Der vorliegende Datensatz präsentiert die Ergebnisse der Wahl zum Sächsischen Landtag 2024 in den Leipziger Wahlbezirken.

Die Geodaten der Wahlbezirke finden sich unter: https://opendata.leipzig.de/dataset/ef736c22-c87f-4f8a-8392-7ffe4e657705",CSV
Landtagswahl 2024: Geodaten der Wahlbezirke,2024-08-15 06:29:17.080238,"Dieser Datensatz enthält die Geodaten der Leipziger Wahlbezirke für die Landtagswahl vom 1.9.2024. 
Die erste Stelle der Wahlbezirks-Nummer entspricht der Stadtbezirksnummer, die ersten beiden Stellen der Wahlbezirks-Nummer entsprechen der Ortsteilnummer.

Die Wahlkreise finden sich unter https://opendata.leipzig.de/dataset/landtagswahl-2024-wahlkreise.

Das zugehörige Straßenabschnittsverzeichnis mit den zugeordneten Adressen und Wahlkreisen findet sich unter https://opendata.leipzig.de/dataset/landtagswahl-2024-strassenabschnittsverzeichnis",SHP
Landtagswahl 2024: Geodaten der Wahlkreise,2023-10-06 07:17:28.826180,Die Datei enthält die Geodaten der Leipziger Wahlkreiseinteilung für die Wahlen zum sächsischen Landtag 2024.,SHP
Landtagswahl 2024: Ortsteilergebnisse,2024-11-15 13:57:14.985539,Der vorliegende Datensatz präsentiert die Ergebnisse der Wahl zum Sächsischen Landtag 2024 in den Leipziger Ortsteilen.,CSV
Landtagswahl 2024: Stadtergebnis,2024-11-15 13:52:09.942038,Der vorliegende Datensatz präsentiert die Ergebnisse der Wahl zum Sächsischen Landtag 2024 im Leipziger Stadtgebiet.,CSV
Europawahl 2024: Wahlbezirksergebnisse,2024-05-27 07:59:45.227292,"Wahlergebnisse zur Europawahl am 9.6.2024 in den Leipziger Wahlbezirken.

Die geographische Zuordnung der Wahlbezirke ist im [zugehörigen Straßenabschnittsverzeichnis](https://opendata.leipzig.de/dataset/06194a4e-38f1-42ae-9606-47bb31b78d86) dokumentiert. Außerdem sind die [Geodaten der Wahlbezirke](https://opendata.leipzig.de/dataset/06d979ad-48df-4ed4-a9cb-ce1f0bc8d0a0) verfügbar.",CSV
Europawahl 2024: Ortsteilergebnisse,2024-06-06 09:09:51.902543,"Wahlergebnisse zur Europawahl am 9.6.2024 in den Leipziger Ortsteilen.

Die Geodaten der Ortsteile finden sich unter https://opendata.leipzig.de/dataset/74b342a9-7db7-45a3-8404-944442a24d51
",CSV
Europawahl 2024: Stadtergebnis,2024-06-06 08:44:52.692530,Wahlergebnisse zur Europawahl am 9.6.2024 im Leipziger Stadtgebiet.,CSV
"Luftbild 2024, Stadt Leipzig",2024-11-05 08:46:14.561364,Das Luftbild der Stadt Leipzig als TrueOrthophoto (TrueDOP) von 2024 in 20 cm Auflösung.,"WMS, WMTS"
Bundestagswahlen (kleinräumig),2023-09-26 12:20:18.133838,Kleinräumige Wahlergebnisse der Bundestagswahlen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
Europawahlen (kleinräumig),2023-09-26 12:20:18.367397,Kleinräumige Wahlergebnisse der Europawahlen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
Europawahlen,2023-09-26 12:20:00.308947,"Ergebnisse der Europawahlen (Wahlbeteiligung, Stimmenanteile der Parteien) seit 1990 in Leipzig","CSV, JSON"
Europawahl und Stadtratswahl 2024: Straßenabschnittsverzeichnis,2023-07-31 09:13:45.902171,"Straßenabschnittsverzeichnis der Stadt Leipzig mit Stadtratswahlkreisen, Ortschaftsgebieten und Wahlbezirken für die Europa- und Stadtrats- und Ortschaftsratswahlen am 9.6.2024.  
Stand: 05.01.2024",CSV
"3D-Stadtmodell LoD2, Stadt Leipzig",2023-09-04 11:58:37.096556,"Die 3D-Gebäudedaten (LoD2, ohne Texturen) bilden die Grundlage für das 3D-Stadtmodell der Stadt Leipzig. Der Datensatz steht für das gesamte Stadtgebiet jeweils im CityGML-, Shapefile- und DXF-Format zur Verfügung. In den entsprechenden ZIP-Dateien befinden sich die 3D-Gebäudedaten aufgegliedert nach Ortsteilen (Kommunale Gebietsgliederung). Für die räumliche Zuordnung kann die Übersichtskarte (Übersicht_3D-Gebäude.pdf) genutzt werden. Des Weiteren ist eine Attributbeschreibung für die Formate CityGML und Shapefile hinterlegt.   [Weiterführende Informationen zu dem 3D-Stadtmodell Leipzig](https://www.leipzig.de/bauen-und-wohnen/bauen/geodaten-und-karten/3d-stadtmodell)
","CITYGML, DXF, SHP"
Wohnungsbestand (Jahreszahlen),2023-09-26 12:19:47.795619,Daten zur Anzahl der Wohnungen und zur Wohnfläche.,"CSV, JSON"
Oberbürgermeisterwahl 2020: Geodaten der Wahlbezirke,2024-07-02 12:23:05.485209,Dieser Datensatz enthält die Geodaten der Leipziger Wahlbezirke für die Oberbürgermeisterwahl am 02.02.2020 (1. Wahlgang) und am 01.03.2020 (2. Wahlgang) .,SHP
Stadtratswahlen,2023-09-26 12:20:00.897360,"Ergebnisse der Stadtratswahlen (Wahlbeteiligung, Stimmenanteile der Parteien) seit 1990 in Leipzig","CSV, JSON"
Stadtratswahl 2024: Wahlkreise,2023-07-31 08:59:55.688857,Die Datei enthält die Geodaten der Wahlkreiseinteilung für die Wahlen zum Leipziger Stadtrat 2024.,SHP
Europawahl und Stadtratswahl 2024: Geodaten der Wahlbezirke,2024-05-29 07:57:41.684611,"Dieser Datensatz enthält die Geodaten der Leipziger Wahlbezirke für die Europa- und Stadtratswahl vom 9.6.2024.
Die erste Stelle der Wahlbezirks-Nummer entspricht dem Stadtbezirk, welche sich von den Wahlkreisen unterscheiden.

Die daraus zusammengesetzten Wahlkreise finden sich unter https://opendata.leipzig.de/dataset/5e2f63ca-dfe9-4c57-b01f-5504a21a99e3

Das zugehörige Straßenabschnittsverzeichnis mit den zugeordneten Adressen und Wahlkreisen finden sich unter https://opendata.leipzig.de/dataset/06194a4e-38f1-42ae-9606-47bb31b78d86",SHP
Vornamensstatistik 2022,2024-03-28 07:02:24.204693,Der Datensatz enthält die Vornamensstatistik für das Jahr 2022. ,CSV
Vornamensstatistik 2017,2024-04-02 05:59:07.714523,Der Datensatz enthält die Vornamensstatistik für das Jahr 2017.,CSV
Vornamensstatistik 2016,2024-04-02 06:02:28.731488,Der Datensatz enthält die Vornamensstatistik für das Jahr 2016.,CSV
Vornamensstatistik 2015,2024-04-02 06:05:36.066433,Der Datensatz enthält die Vornamensstatistik für das Jahr 2015. ,CSV
Vornamensstatistik 2014,2020-01-22 13:41:22.934304,Der Datensatz enthält die Vornamensstatistik für das Jahr 2014.,CSV
LeipzigGiesst gegossene Liter Jahresstatistik 2023,2024-04-04 05:24:19.099672,"Gegossene Liter pro Straßenbaum, wie sie durch die Nutzer in app.LeipzigGiesst.de eingetragen wurden, aufsummiert im Zeitraum von 1. März 2023 bis 30. September 2023. Es werden die Daten des Baumkatasters für die Identifikation des jeweiligen Baums verwendet (aber auch Baum-Daten von OpenStreetMap.org)",CSV
